time,S,C,ε,γ,κ,β,θ,K
427.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
434.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
441.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
448.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
455.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
462.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
469.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
476.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
483.0,1898.0264,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
490.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
497.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
504.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
511.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
518.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
525.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
532.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
539.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
546.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
553.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
560.0,1898.0264,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
567.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
574.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
581.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
588.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
595.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
602.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
609.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
616.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
623.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
630.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
637.0,1898.0264,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
644.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
651.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
658.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
665.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
672.0,1898.0267,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
679.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
686.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
693.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
700.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
707.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
714.0,1898.0264,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
721.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
728.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
735.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
742.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
749.0,1898.0267,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
756.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
763.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
770.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
777.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
784.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
791.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
798.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
805.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
812.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
819.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
826.0,1898.0269,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
833.0,1898.0265,101.973305,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
840.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
847.0,1898.0266,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
854.0,1898.0266,101.9733,0.0002844028,0.05,0.071428575,0.01,1e-04,0.2
861.0,1898.0264,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
868.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
875.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
882.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
889.0,1898.0265,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
896.0,1898.027,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
903.0,1898.0264,101.9733,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
910.0,1898.0265,101.97332,0.00028440278,0.05,0.071428575,0.01,1e-04,0.2
0.0,1967.0,33.0,1e-04,0.05,0.071428575,0.01,1e-04,0.5
7.0,1905.7094,94.290634,9.985872e-05,0.05,0.071428575,0.01,1e-04,0.5
14.0,1899.6884,100.31155,0.00011000222,0.05,0.071428575,0.01,1e-04,0.5
21.0,1899.0602,100.9399,0.00011714088,0.05,0.071428575,0.01,1e-04,0.5
28.0,1898.9727,101.028015,0.00012158174,0.05,0.071428575,0.01,1e-04,0.5
35.0,1898.9464,101.05306,0.00012429547,0.05,0.071428575,0.01,1e-04,0.5
42.0,1898.9337,101.065475,0.00012594923,0.05,0.071428575,0.01,1e-04,0.5
49.0,1898.9283,101.07293,0.00012695657,0.05,0.071428575,0.01,1e-04,0.5
56.0,1898.9226,101.077385,0.00012757014,0.05,0.071428575,0.01,1e-04,0.5
63.0,1898.9177,101.08015,0.00012794381,0.05,0.071428575,0.01,1e-04,0.5
70.0,1898.918,101.08175,0.00012817148,0.05,0.071428575,0.01,1e-04,0.5
77.0,1898.9171,101.082855,0.00012831006,0.05,0.071428575,0.01,1e-04,0.5
84.0,1898.9166,101.08336,0.00012839447,0.05,0.071428575,0.01,1e-04,0.5
91.0,1898.916,101.08376,0.00012844584,0.05,0.071428575,0.01,1e-04,0.5
98.0,1898.9159,101.08396,0.00012847726,0.05,0.071428575,0.01,1e-04,0.5
105.0,1898.9158,101.084114,0.0001284964,0.05,0.071428575,0.01,1e-04,0.5
112.0,1898.9158,101.08412,0.00012850796,0.05,0.071428575,0.01,1e-04,0.5
119.0,1898.9153,101.08426,0.00012851505,0.05,0.071428575,0.01,1e-04,0.5
126.0,1898.9169,101.084274,0.00012851931,0.05,0.071428575,0.01,1e-04,0.5
133.0,1898.9155,101.084305,0.00012852195,0.05,0.071428575,0.01,1e-04,0.5
140.0,1898.9156,101.084305,0.00012852358,0.05,0.071428575,0.01,1e-04,0.5
147.0,1898.9156,101.0842,0.00012852467,0.05,0.071428575,0.01,1e-04,0.5
154.0,1898.9155,101.08432,0.00012852515,0.05,0.071428575,0.01,1e-04,0.5
161.0,1898.9155,101.08432,0.0001285255,0.05,0.071428575,0.01,1e-04,0.5
168.0,1898.9155,101.08432,0.00012852573,0.05,0.071428575,0.01,1e-04,0.5
175.0,1898.9156,101.08432,0.00012852589,0.05,0.071428575,0.01,1e-04,0.5
182.0,1898.9155,101.08432,0.00012852596,0.05,0.071428575,0.01,1e-04,0.5
189.0,1898.9158,101.08432,0.00012852598,0.05,0.071428575,0.01,1e-04,0.5
196.0,1898.9155,101.08432,0.00012852602,0.05,0.071428575,0.01,1e-04,0.5
